[ 0.9229088 ; 1.4406825 ] --> ❌
[ 0.07555545 ; 1.2648494 ] --> ❌
[ 1.0952882 ; -0.6489327 ] --> ❌
[ 0.39431682 ; 0.62067723 ] --> ❌
[ -0.8533427 ; 1.3256767 ] --> ❌
[ 0.957559 ; 1.6849751 ] --> ❌
[ 1.6758853 ; 1.7715495 ] --> ❌
[ 0.38167894 ; 1.0463576 ] --> ❌
[ 1.019507 ; -0.81990576 ] --> ❌
[ 1.6599771 ; 0.7274947 ] --> ❌
[ 0.83495533 ; -0.49645525 ] --> ❌
[ 1.9813303 ; 0.011115395 ] --> ❌
[ 0.96530557 ; -0.23840947 ] --> ❌
[ -0.037252825 ; 0.26222417 ] --> ❌
[ 0.20647368 ; -0.3136214 ] --> ✅
[ 1.1408677 ; 1.8374392 ] --> ❌
[ 1.2569883 ; 0.92795026 ] --> ✅
[ 1.0235246 ; 0.5581079 ] --> ✅
[ -0.8666123 ; 0.14979433 ] --> ✅
[ -0.6977126 ; 0.20334576 ] --> ✅
[ -0.31902817 ; -0.7544339 ] --> ✅
[ -0.02953371 ; -0.9476132 ] --> ✅
[ -0.4999303 ; 0.9031372 ] --> ✅
[ 1.0783563 ; 1.6726259 ] --> ❌
[ 0.6421603 ; 1.8310091 ] --> ✅
[ 0.68855727 ; 0.91047686 ] --> ✅
[ 1.8081183 ; 1.1447417 ] --> ✅
[ 0.2690109 ; 1.3966597 ] --> ✅
[ 0.5025328 ; 1.6874118 ] --> ✅
[ -0.72005147 ; 1.8257761 ] --> ✅
[ 0.66347545 ; -0.5717604 ] --> ✅
[ 0.07325104 ; 0.8120208 ] --> ✅
[ 0.6962816 ; 0.5473812 ] --> ✅
[ -0.5712259 ; 0.25862083 ] --> ✅
[ 0.5928268 ; 0.37250885 ] --> ✅
[ 0.10199831 ; 1.9080878 ] --> ✅
[ 0.91446966 ; 1.9841629 ] --> ❌
[ 1.650918 ; 1.0636071 ] --> ✅
[ 1.857258 ; -0.94801915 ] --> ✅
[ 0.5473876 ; 0.38888255 ] --> ✅
[ 0.4021748 ; 0.30277184 ] --> ✅
[ -0.84080225 ; 0.20449886 ] --> ✅
[ -0.31886908 ; 1.9540256 ] --> ✅
[ -0.38603958 ; 0.80335134 ] --> ✅
[ 0.1610915 ; 0.4728106 ] --> ✅
[ 1.8244343 ; 1.0059396 ] --> ✅
[ -0.93584824 ; 0.14013274 ] --> ✅
[ 0.067228876 ; -0.5316881 ] --> ✅
[ -0.3994422 ; 0.11469416 ] --> ✅
[ -0.5371224 ; -0.8588126 ] --> ✅
[ 0.09459893 ; -0.002391169 ] --> ✅
[ -0.494921 ; 1.7582812 ] --> ✅
[ -0.07002434 ; 0.30099812 ] --> ✅
[ 1.4304546 ; 0.30509096 ] --> ✅
[ -0.5683211 ; 1.7185073 ] --> ✅
[ -0.29251793 ; 0.08640506 ] --> ✅
[ 0.33559486 ; 1.6846509 ] --> ✅
[ -0.7456886 ; 0.2715268 ] --> ✅
[ 0.37497962 ; -0.6074883 ] --> ✅
[ -0.830017 ; 1.6507071 ] --> ✅
[ 0.7346279 ; 0.21568727 ] --> ✅
[ -0.21788517 ; 1.7845156 ] --> ✅
[ 0.6889894 ; -0.64950955 ] --> ✅
[ -0.32356566 ; 0.7698767 ] --> ✅
[ 1.6496656 ; 0.45828387 ] --> ✅
[ 1.0795856 ; -0.5177642 ] --> ✅
[ 0.10065111 ; 0.1454408 ] --> ✅
[ 1.516444 ; 1.3828142 ] --> ✅
[ 1.4963613 ; -0.7302074 ] --> ✅
[ 0.056729075 ; -0.19684502 ] --> ✅
[ 1.1379191 ; 1.3075432 ] --> ✅
[ 1.7030073 ; 1.0361518 ] --> ✅
[ 1.3273531 ; 1.3534936 ] --> ✅
[ 1.5532343 ; -0.42650437 ] --> ✅
[ 1.7272887 ; 0.7600417 ] --> ✅
[ 1.2957895 ; 1.4339694 ] --> ✅
[ 0.82539314 ; -0.05321534 ] --> ✅
[ -0.6364913 ; 0.7252558 ] --> ✅
[ -0.28173313 ; 1.5326724 ] --> ✅
[ 1.6855301 ; 0.373925 ] --> ✅
[ 0.088650905 ; 0.6565264 ] --> ✅
[ -0.5681823 ; 1.3440025 ] --> ✅
[ 0.2527515 ; 1.1593548 ] --> ✅
[ 0.44503576 ; 1.6440157 ] --> ✅
[ 1.5011618 ; -0.79673797 ] --> ✅
[ 0.19799899 ; -0.004343453 ] --> ✅
[ -0.35270947 ; 0.8968697 ] --> ✅
[ 1.1022315 ; -0.795809 ] --> ✅
[ 0.731388 ; 1.5860307 ] --> ✅
[ 1.824218 ; 0.03148857 ] --> ✅
[ 1.2061871 ; 0.6512377 ] --> ✅
[ 0.9407391 ; 0.7270359 ] --> ✅
[ 1.6518608 ; 1.9294922 ] --> ✅
[ -0.21676445 ; 1.3205432 ] --> ✅
[ -0.8665785 ; 0.24851999 ] --> ✅
[ -0.31654954 ; 0.32174146 ] --> ✅
[ 0.7228737 ; -0.974917 ] --> ✅
[ 0.0386551 ; 0.60871226 ] --> ✅
[ -0.53864354 ; 1.4367588 ] --> ✅
[ 0.66456604 ; 0.015584547 ] --> ✅
